"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"986","geldanamycin","3460","HEPG2","trt_cp","down",-0.249140046533658,0.0269838449429949,0.0579425987204525,-0.717365818707942,-0.685052182910453,49,57,"HSP90AA1; HSP90AB1; HSP90B1",-41.5524304734893
"987","BRD-K71401720",NA,"HEPG2","trt_cp","down",-0.248236412432174,0.0286771268531633,0.061299894096868,-0.714763923805688,0,49,57,NA,-34.3427479713228
"988","BRD-K19362120","54650185","HEPG2","trt_cp","down",-0.248193380196628,0.0286771268531633,0.061299894096868,-0.714640018173846,0.621415923987403,49,57,NA,-27.4078232096431
"989","BRD-K97168035",NA,"HEPG2","trt_cp","up",0.223780410841412,0.0979692802249592,0.191831554622404,0.714229273938135,0.726685835551896,49,57,NA,27.4422910265501
"990","BRD-K75418563","54618673","HEPG2","trt_cp","up",0.223689210543896,0.0979692802249592,0.191831554622404,0.713938194294333,-0.376345885024989,49,57,NA,33.0319861340897
"991","BRD-K53500355",NA,"HEPG2","trt_cp","down",-0.247930890090391,0.0286771268531633,0.061299894096868,-0.713884212623579,-0.717260011178793,49,57,NA,-28.2291420467974
"992","BRD-K17628612","3913840","HEPG2","trt_cp","down",-0.24723796068738,0.0304563795009032,0.0648112368506583,-0.711889014037829,0.0402570363473207,49,57,NA,-36.7220121326716
"993","BRD-K65603160",NA,"HEPG2","trt_cp","up",0.222867302830921,0.102095114055165,0.199360529626123,0.711314950611496,0.692857036510668,49,57,NA,35.5392736153786
"994","BRD-K08266813",NA,"HEPG2","trt_cp","up",0.22277457293451,0.102095114055165,0.199360529626123,0.711018989019787,-0.611073537174587,49,57,NA,31.15792168912
"995","BRD-K31553917","17562110","HEPG2","trt_cp","down",-0.245952376356192,0.0323253672338734,0.0684813296001927,-0.708187343956716,-0.0346800921720265,49,57,NA,-36.2305995430552
"996","BRD-K57701450",NA,"HEPG2","trt_cp","up",0.221659451138764,0.106317232500342,0.207047621054327,0.707459907920892,0.715177257750819,49,57,NA,27.7465926101001
"997","BRD-K59037718",NA,"HEPG2","trt_cp","down",-0.245253116017362,0.0342699465493095,0.0723067602884678,-0.706173916278454,-0.783679918954732,49,57,NA,-35.9331915228866
"998","BRD-K63923428","60191087","HEPG2","trt_cp","up",0.220615402466239,0.110622188353248,0.214821562328211,0.704127667522685,0.778629064382413,49,57,NA,25.0590876861262
"999","BRD-K11359987","54657517","HEPG2","trt_cp","down",-0.244346420440298,0.0363066327065934,0.0762853979382205,-0.703563206262101,1.07137382306305,49,57,NA,-41.6893169463484
"1000","cilostamide","2753","HEPG2","trt_cp","down",-0.244338738729807,0.0363066327065934,0.0762853979382205,-0.703541087792543,-0.735854910035126,49,57,"PDE3A; PDE3B",-36.4945245410856
"1001","BRD-K74713361",NA,"HEPG2","trt_cp","up",0.220050906509668,0.115029325573816,0.2227452437321,0.702325992676854,-0.678870003824963,49,57,NA,26.0872134247223
"1002","bexarotene",NA,"HEPG2","trt_cp","up",0.219639603709163,0.115029325573816,0.2227452437321,0.70101325712744,0,49,57,"RARA; RXRA; RXRB; RXRG",42.4101867170882
"1003","BRD-K24572125",NA,"HEPG2","trt_cp","down",-0.243327898998121,0.0384308997848403,0.0803679652316211,-0.700630508454565,0,49,57,NA,-25.7060978492082
"1004","BRD-A44244100","18574628","HEPG2","trt_cp","down",-0.242859547267291,0.0384308997848403,0.0803679652316211,-0.699281951578605,-1.06273878550083,49,57,NA,-25.0295438430631
"1005","BRD-K05978741","54652533","HEPG2","trt_cp","up",0.218963425686384,0.119505026143938,0.23080030382974,0.698855131952647,0.657624914654462,49,57,NA,33.4524935003545
"1006","BRD-K81752795",NA,"HEPG2","trt_cp","down",-0.242467197742891,0.0406627445210355,0.0846795129231154,-0.698152233005829,-0.481725040774022,49,57,NA,-25.9306310564878
"1007","cimetidine","2756","HEPG2","trt_cp","up",0.218702315582009,0.119505026143938,0.23080030382974,0.698021759274652,0,49,57,"ABCG2; ADCY10; HDC; HRH2; SLC22A2; SLC22A6; SLC22A7; SLC22A8; SLC29A4; SLC47A1; SLC47A2",27.2610887890964
"1008","ichthynone","3428129","HEPG2","trt_cp","down",-0.242367719577159,0.0406627445210355,0.0846795129231154,-0.697865798782201,-0.0209359739634659,49,57,NA,-36.5762625068936
"1009","amifostine","2141","HEPG2","trt_cp","down",-0.241222615493544,0.0429869136914285,0.0891939590895282,-0.694568622997428,0,49,57,"ALPG; ALPPL2; ENPP1",-34.7957535649571
"1010","PF-477736","16750408","HEPG2","trt_cp","down",-0.241215462701293,0.0429869136914285,0.0891939590895282,-0.694548027477995,-1.00225425081752,49,57,NA,-30.9816434255101
"1011","BRD-K63376220",NA,"HEPG2","trt_cp","down",-0.241073505350975,0.0429869136914285,0.0891939590895282,-0.694139280059629,0,49,57,NA,-24.974395336012
"1012","BRD-K36144527",NA,"HEPG2","trt_cp","down",-0.240839036941221,0.0429869136914285,0.0891939590895282,-0.69346415927891,-0.761025061809474,49,57,NA,-26.1837233120618
"1013","endo-IWR-1","44483163","HEPG2","trt_cp","up",0.217194143215087,0.128673606208937,0.247294130306614,0.693208197396961,0.778563664891739,49,57,NA,33.4022689671473
"1014","BRD-K22693056",NA,"HEPG2","trt_cp","up",0.217079228642204,0.128673606208937,0.247294130306614,0.692841430030479,0.952605470131862,49,57,NA,44.5915071299141
"1015","BRD-K23682005",NA,"HEPG2","trt_cp","down",-0.240609302839172,0.0429869136914285,0.0891939590895282,-0.692802670311181,-0.0207840801093353,49,57,NA,-26.1246356259356
"1016","iodoform",NA,"HEPG2","trt_cp","up",0.2163031888487,0.133358826453085,0.255645328072947,0.690364580800568,0.690364580800568,49,57,NA,27.1005672417868
"1017","BRD-K89748417",NA,"HEPG2","trt_cp","down",-0.238866815397871,0.0479388803977101,0.0987404801441191,-0.687785408143543,-0.667855923421562,49,57,NA,-28.3965571574884
"1018","silybin-b",NA,"HEPG2","trt_cp","down",-0.238474253750984,0.0505539052626407,0.103733217935813,-0.686655078792116,0.635516150342573,49,57,NA,-26.9695895375404
"1019","CYT-387",NA,"HEPG2","trt_cp","down",-0.237464259231412,0.0532625383566355,0.108897257578347,-0.683746933130653,-0.967940633222649,49,57,NA,-33.767627826361
"1020","BRD-K42573370",NA,"HEPG2","trt_cp","down",-0.237292897388943,0.0532625383566355,0.108897257578347,-0.683253519365471,-0.892444705396172,49,57,NA,-32.8754037658552
"1021","lapatinib","208908","HEPG2","trt_cp","down",-0.237162970572788,0.0532625383566355,0.108897257578347,-0.682879412279356,-0.971036525988508,49,57,"CYP3A5; EGFR; ERBB2; ERBB4",-39.0865043724888
"1022","sildenafil","5212","HEPG2","trt_cp","down",-0.237157987298111,0.0532625383566355,0.108897257578347,-0.682865063598892,0.785339525267321,49,57,"C1S; PDE11A; PDE5A; PDE6C; PDE6G; PDE6H; SLCO1B1; SLCO1B3",-26.8011896320807
"1023","BRD-K33218695",NA,"HEPG2","trt_cp","down",-0.236361930732357,0.0560728741151226,0.114231395910242,-0.680572923985149,-0.681345513474956,49,57,NA,-24.9389427243363
"1024","phthalic-anhydride",NA,"HEPG2","trt_cp","up",0.213200759516433,0.147753561344876,0.281327701209504,0.680462704934409,0.680462704934409,49,57,NA,33.9606476010399
"1025","linsitinib","11640390","HEPG2","trt_cp","down",-0.236319620570868,0.0560728741151226,0.114231395910242,-0.680451097470068,0.503802410303518,49,57,"IGF1R; INSR; INSRR",-35.9696289293311
"1026","BRD-K85879095",NA,"HEPG2","trt_cp","down",-0.236012558680597,0.0560728741151226,0.114231395910242,-0.679566953361672,-0.753484538843113,49,57,NA,-37.8781611912078
"1027","BRD-K26840329",NA,"HEPG2","trt_cp","up",0.212804709693746,0.147753561344876,0.281327701209504,0.679198651587482,0.468647069595363,49,57,NA,31.6650909950366
"1028","isonicotinohydroxamic-acid","72967","HEPG2","trt_cp","down",-0.235211472714498,0.0589969453950692,0.119760626575713,-0.677260332254701,-0.250586322934239,49,57,NA,-26.7283148191917
"1029","michler's-ketone",NA,"HEPG2","trt_cp","up",0.210965377531897,0.157560361532301,0.298622717797487,0.673328142772395,0.673328142772395,49,57,NA,23.1082092491925
"1030","GSK-429286A","11373846","HEPG2","trt_cp","up",0.210046517281196,0.162510391666666,0.307321871487632,0.670395460294776,0,49,57,"ROCK1",34.4855432127945
"1031","triphenylphosphine-oxide",NA,"HEPG2","trt_cp","down",-0.231884317810484,0.0684082279675016,0.137411874915572,-0.667680229678283,-0.87233137330512,49,57,NA,-32.9374458362877
"1032","BRD-K50817946",NA,"HEPG2","trt_cp","down",-0.231096929315736,0.0717489885981173,0.143611119179359,-0.66541304862877,-1.15670418738212,49,57,NA,-24.8296305050028
"1033","BRD-K60084530",NA,"HEPG2","trt_cp","up",0.208460943015306,0.172464501875189,0.314451408995329,0.665334858464423,0.798653307565015,49,57,NA,37.2163791065942
"1034","BRD-K84653575",NA,"HEPG2","trt_cp","up",0.208450749925602,0.172464501875189,0.314451408995329,0.665302325665723,-0.667047065372545,49,57,NA,22.5577089734499
