"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"921","BRD-K76522065",NA,"HEPG2","trt_cp","down",-0.209458230393522,0.167478438447628,0.314451408995329,-0.680399171626985,0.993082092231225,62,26,NA,-23.1771448830064
"922","p-cresidine",NA,"HEPG2","trt_cp","up",0.203668569149413,0.192382339874116,0.314451408995329,0.679707346298319,0.679707346298319,62,26,"SOD1",31.2022374537146
"923","BRD-K66497480",NA,"HEPG2","trt_cp","up",0.202530005118834,0.197308543646131,0.314451408995329,0.675907592909531,0,62,26,NA,46.0037028283306
"924","ichthynone","3428129","HEPG2","trt_cp","down",-0.207918665481431,0.172464501875189,0.314451408995329,-0.675398085305934,0.760828899872604,62,26,NA,-35.5451823839912
"925","BRD-K52369815",NA,"HEPG2","trt_cp","down",-0.207574620452117,0.172464501875189,0.314451408995329,-0.674280497553435,-0.91138260218345,62,26,NA,-24.2850389978728
"926","crizotinib","11626560","HEPG2","trt_cp","up",0.202038879598503,0.202205938190978,0.314451408995329,0.674268549509178,0,62,26,"ALK; AXL; CYP2B6; CYP3A5; EPHA2; EPHA6; EPHB6; IRAK1; IRAK3; LTK; MAP3K2; MAP4K1; MAP4K2; MAP4K3; MAP4K5; MERTK; MET; MST1R; NTRK2; NTRK3; NUDT1; PLK4; ROS1; SLK; STK10; TEK; TIE1",28.8800913889545
"927","phenformin","13266","HEPG2","trt_cp","down",-0.207315330271752,0.177460030569984,0.314451408995329,-0.673438225451736,-0.679282829256342,62,26,"KCNJ8; PRKAA1",-42.6386591034428
"928","BRD-K84653575",NA,"HEPG2","trt_cp","down",-0.206375387652147,0.182443918074043,0.314451408995329,-0.670384938032309,-0.887762010840783,62,26,NA,-23.3642558890727
"929","BRD-K41719870",NA,"HEPG2","trt_cp","down",-0.206029338360249,0.182443918074043,0.314451408995329,-0.669260839680543,-0.461789979379574,62,26,NA,-37.4990152052312
"930","FK-866","6914657","HEPG2","trt_cp","up",0.198918298053037,0.216603675857202,0.314451408995329,0.663854167898727,0,62,26,NA,22.62172063342
"931","BRD-K06421846",NA,"HEPG2","trt_cp","down",-0.203928447433104,0.192382339874116,0.314451408995329,-0.662436355181543,-0.662436355181543,62,26,NA,-32.6873079650201
