"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"58";"query_1";TRUE;0,00996121770158341;705;21;8;0,380952380952381;0,0113475177304965;"REAC:R-HSA-1280215";"REAC";"Cytokine Signaling in Immune system";10770;403;"Up"
"59";"query_1";TRUE;0,0144466038096792;45;17;3;0,176470588235294;0,0666666666666667;"REAC:R-HSA-6783783";"REAC";"Interleukin-10 signaling";10770;1165;"Up"
"60";"query_1";TRUE;0,0306245472938094;9;18;2;0,111111111111111;0,222222222222222;"REAC:R-HSA-448706";"REAC";"Interleukin-1 processing";10770;1163;"Up"
"61";"query_1";TRUE;0,0416593553146987;35;29;3;0,103448275862069;0,0857142857142857;"TF:M06545";"TF";"Factor: ZNF485; motif: NGGGAKGGGGGW";19958;10368;"Up"
"62";"query_1";TRUE;0,000127380362480742;35;40;5;0,125;0,142857142857143;"WP:WP3617";"WP";"Photodynamic therapy-induced NF-kB survival signaling";7364;466;"Up"
"63";"query_1";TRUE;0,000883391272490223;12;3;2;0,666666666666667;0,166666666666667;"WP:WP3892";"WP";"Development of pulmonary dendritic cells and macrophage subsets";7364;498;"Up"
"64";"query_1";TRUE;0,0054640998997262;112;14;4;0,285714285714286;0,0357142857142857;"WP:WP4659";"WP";"Gastrin signaling pathway";7364;511;"Up"
"65";"query_1";TRUE;0,0318561681599444;134;18;4;0,222222222222222;0,0298507462686567;"WP:WP4630";"WP";"Measles virus infection";7364;263;"Up"
"66";"query_1";TRUE;0,0374790395199562;50;20;3;0,15;0,06;"WP:WP3646";"WP";"Hepatitis C and hepatocellular carcinoma";7364;699;"Up"
"67";"query_1";TRUE;0,0266627272715561;7;18;2;0,111111111111111;0,285714285714286;"GO:1902075";"GO:BP";"cellular response to salt";21100;25329;"Down"
"68";"query_1";TRUE;0,0304730069985789;189;36;5;0,138888888888889;0,0264550264550265;"GO:0010952";"GO:BP";"positive regulation of peptidase activity";21100;5071;"Down"
"69";"query_1";TRUE;0,0384535241500017;3513;43;19;0,441860465116279;0,00540848277825221;"GO:0048513";"GO:BP";"animal organ development";21100;14835;"Down"
"70";"query_1";TRUE;0,00490628129563148;4215;29;16;0,551724137931034;0,00379596678529063;"GO:0005654";"GO:CC";"nucleoplasm";21698;311;"Down"
"71";"query_1";TRUE;0,00627129605602914;6625;42;26;0,619047619047619;0,00392452830188679;"GO:0070013";"GO:CC";"intracellular organelle lumen";21698;2716;"Down"
"72";"query_1";TRUE;0,00628976169020965;6626;42;26;0,619047619047619;0,00392393600965892;"GO:0031974";"GO:CC";"membrane-enclosed lumen";21698;1444;"Down"
"73";"query_1";TRUE;0,00628976169020965;6626;42;26;0,619047619047619;0,00392393600965892;"GO:0043233";"GO:CC";"organelle lumen";21698;2130;"Down"
"74";"query_1";TRUE;0,0453443839829197;2133;38;12;0,315789473684211;0,00562587904360056;"GO:1903561";"GO:CC";"extracellular vesicle";21698;4067;"Down"
"75";"query_1";TRUE;0,0455463798891148;2134;38;12;0,315789473684211;0,0056232427366448;"GO:0043230";"GO:CC";"extracellular organelle";21698;2127;"Down"
"76";"query_1";TRUE;0,0455463798891148;2134;38;12;0,315789473684211;0,0056232427366448;"GO:0065010";"GO:CC";"extracellular membrane-bounded organelle";21698;2715;"Down"
