"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSG00000089169.14",687278.73421672,-2.18283189004582,0.573695359284866,2.79584494117733e-05,0.000168760667306115,"RPH3A"
"ENSG00000102780.16",179505.732496937,-1.35553385533984,0.529880703195358,0.000997824191261366,0.00414190677187051,"DGKH"
"ENSG00000125266.6",130853.519300673,-2.0351144754748e-06,0.00144267214605686,0.619658685310459,0.818045270270195,"EFNB2"
"ENSG00000100852.12",510278.236315928,-0.757730572345881,0.235027131272399,7.91477944176704e-05,0.000428486198762913,"ARHGAP5"
"ENSG00000100505.13",816278.407500966,2.54780052528033e-06,0.00144268804410541,0.375032395775823,0.602482793747046,"TRIM9"
"ENSG00000186469.8",279249.156789558,-5.1022820589811e-06,0.00144269164289719,0.0393680725829416,0.102190871730466,"GNG2"
"ENSG00000165617.14",59541.1200414826,-6.30186453689744e-07,0.00144269047524184,0.758109301300287,0.907461321575454,"DACT1"
"ENSG00000139970.16",1846480.80203961,-3.05434143116499,0.463843022574939,1.67268788807446e-11,3.55985985129789e-10,"RTN1"
"ENSG00000100714.15",191865.674757509,9.03460266921523e-06,0.00144268098954618,0.0460517602393458,0.116435950385341,"MTHFD1"
"ENSG00000119655.10",250182.076854591,2.19863497806092,0.549336442757623,4.68301339845915e-07,4.15167310786502e-06,"NPC2"
"ENSG00000100600.14",136991.433159816,6.43929890629783e-06,0.00144268804269804,0.0446437421249346,0.113415146412207,"LGMN"
"ENSG00000126214.21",1797826.6574869,-2.23012139189133,0.245952174398617,2.55109230011365e-20,2.27756363111229e-18,"KLC1"
"ENSG00000156970.12",5019.25161883552,4.46654724213456,0.497180935041601,6.31360291793911e-22,7.1951797309048e-20,"BUB1B"
"ENSG00000166963.12",2873964.39860911,-3.28745615470875,0.319423603177387,3.25998999769016e-25,6.10754186688468e-23,"MAP1A"
"ENSG00000140262.17",270859.509437719,1.72581314127375,0.274694884985289,4.50228699366869e-12,1.05940933146148e-10,"TCF12"
"ENSG00000157456.7",6019.89752740206,5.32863109067018,0.527072001051731,7.04719264499334e-27,1.659781658197e-24,"CCNB2"
"ENSG00000137834.14",50156.7740924186,6.92569503184919e-07,0.00144269057437679,0.70027599251922,0.872236787378192,"SMAD6"
"ENSG00000137807.13",5378.09511684309,4.09599002571026,0.418690285343426,4.23340887166773e-25,7.8715940899506e-23,"KIF23"
"ENSG00000198901.13",55460.6280729242,1.95070711029342,0.466444997875856,2.68229389658486e-07,2.50030637250447e-06,"PRC1"
"ENSG00000127585.11",3630112.67047912,-3.93396098403505,0.599648847884761,3.61519383133841e-11,7.1522994759199e-10,"FBXL16"
"ENSG00000126602.10",337052.515464401,-1.74370411090451e-05,0.00144267460913189,0.016664884639223,0.0491675730288697,"TRAP1"
"ENSG00000166851.14",33380.6716720825,3.27069621858731,0.378959737111632,3.13713966164097e-20,2.75913676737351e-18,"PLK1"
"ENSG00000158865.12",108887.266198186,-3.25329643738804,0.792965761965241,1.80369281318173e-05,0.000114007216025519,"SLC5A11"
"ENSG00000125170.10",99167.628945288,-4.02881602238527e-06,0.00144268508484251,0.204019821401328,0.389321361414781,"DOK4"
"ENSG00000125166.12",397403.532607252,-1.07049225822396,0.217355426558877,7.53262027848386e-08,7.81055343760612e-07,"GOT2"
"ENSG00000065427.14",284754.444526235,0.530818400876591,0.129685176122394,1.11160827546576e-06,9.10870531884301e-06,"KARS"
"ENSG00000166848.5",1002233.9045975,-1.44444492845035,0.179760944940878,1.14283191221517e-16,6.08444202133069e-15,"TERF2IP"
"ENSG00000258947.6",757704.733576903,-3.31526652748536e-06,0.00144268575495276,0.246387073650132,0.448387141712974,"TUBB3"
"ENSG00000132535.18",1502891.33333337,-2.76387587678227,0.41120777155298,5.40705697663069e-12,1.25732504966692e-10,"DLG4"
"ENSG00000129244.8",2219998.55538338,-6.72991266314073e-07,0.00144268433146698,0.809361505607582,0.93606968472702,"ATP1B2"
"ENSG00000178921.13",71785.4079969354,4.93779448717025e-06,0.0014426735889167,0.251994594154734,0.455932146176088,"PFAS"
"ENSG00000133026.12",423757.897276413,-1.24989485927499,0.314086910579957,6.7405620210227e-06,4.68768556748851e-05,"MYH10"
"ENSG00000109046.14",920185.79849329,3.18605232128017e-06,0.00144268310408368,0.31415916824825,0.534091103068038,"WSB1"
"ENSG00000109107.13",3750155.14144057,-0.886748242488997,0.355266143993357,0.000784486358605605,0.00334431092024076,"ALDOC"
"ENSG00000176749.8",473556.954717179,-3.0472238430988,0.433359819833047,7.44604483067899e-13,2.05170683746731e-11,"CDK5R1"
"ENSG00000108797.11",670433.829866693,-2.06507118590636,0.426122215222711,2.28544406238858e-07,2.15845070318387e-06,"CNTNAP1"
"ENSG00000180340.6",9002.63418002603,2.599401341035e-06,0.0014426955093554,0.000964527306862716,0.00401832215274848,"FZD2"
"ENSG00000131095.12",37669310.4112702,2.19028826497005e-06,0.00144269424237389,0.0662737594141328,0.157910210069516,"GFAP"
"ENSG00000198336.9",1420.82971968422,1.08342054393839e-06,0.00144269331282201,0.361763420092668,0.588366668566747,"MYL4"
"ENSG00000141540.10",472970.052603887,-9.07931993267735e-06,0.00144269638111629,0.00453185313598274,0.0157758816169561,"TTYH2"
"ENSG00000181409.11",989418.154016069,-3.81632175824163,0.376188972163198,2.11909339558382e-24,3.45148831091293e-22,"AATK"
"ENSG00000141542.10",464758.634891769,-8.2927002236109e-05,0.00144381438035065,7.13950678995463e-21,6.85669914235254e-19,"RAB40B"
"ENSG00000080986.12",3026.21624438668,5.90620026416101,0.92033125688526,1.06947219442185e-13,3.4170603834693e-12,"NDC80"
"ENSG00000099822.2",607178.536556776,-2.09546009166548,0.374495902768691,4.13524495127245e-09,5.48335697828245e-08,"HCN2"
"ENSG00000116017.10",30021.6611093861,-1.9999008228486e-06,0.00144268435006886,0.486165044401648,0.712149358688154,"ARID3A"
"ENSG00000161888.11",7347.04951269263,3.33029012155203,0.345789152476014,2.9977572055522e-24,4.78287327053586e-22,"SPC24"
